,steps,episodes,mean episode reward,% time spent exploring,reward_for_this_episode,delta_t
0,290,2,5709.0,99,5709.0,290
1,2070,3,4964.5,97,4220.0,1780
2,3235,4,4921.3,96,4835.0,1165
3,6346,5,4413.2,93,2889.0,3111
4,8938,6,4212.2,91,3408.0,2592
5,10823,7,4196.0,89,4115.0,1885
6,11328,8,4381.6,88,5495.0,505
7,12023,9,4497.0,88,5305.0,695
8,16174,10,4202.8,84,1849.0,4151
9,20842,11,3915.7,79,1332.0,4668
10,21603,12,4036.0,78,5239.0,761
11,22322,13,4139.8,78,5281.0,719
12,23140,14,4219.9,77,5182.0,818
13,24260,15,4267.1,76,4880.0,1120
14,25220,16,4318.6,75,5040.0,960
15,29335,17,4166.5,71,1885.0,4115
16,31390,18,4153.5,69,3945.0,2055
17,32685,19,4184.1,67,4705.0,1295
18,34031,20,4208.8,66,4654.0,1346
19,34403,21,4279.8,66,5628.0,372
20,38386,22,4172.0,62,2017.0,3983
21,44016,23,3999.2,56,370.0,5630
22,46831,24,3963.8,54,3185.0,2815
23,48031,25,3998.7,52,4800.0,1200
24,48251,26,4069.9,52,5780.0,220
25,53938,27,3925.4,47,313.0,5687
26,56567,28,3904.9,44,3371.0,2629
27,57167,29,3958.3,43,5400.0,600
28,57565,30,4015.0,43,5602.0,398
29,57738,31,4075.4,43,5827.0,173
30,58555,32,4111.1,42,5183.0,817
31,60867,33,4097.9,40,3688.0,2312
32,62148,34,4116.7,39,4719.0,1281
33,64884,35,4091.6,36,3264.0,2736
34,65907,36,4116.9,35,4977.0,1023
35,66095,37,4164.0,35,5812.0,188
36,66264,38,4209.1,35,5831.0,169
37,66434,39,4251.7,34,5830.0,170
38,68574,40,4241.7,32,3860.0,2140
39,70068,41,4248.3,31,4506.0,1494
40,71489,42,4256.3,29,4579.0,1421
41,71668,43,4293.6,29,5821.0,179
42,71841,44,4329.3,29,5827.0,173
43,72110,45,4361.1,29,5731.0,269
44,72280,46,4393.8,29,5830.0,170
45,74334,47,4384.0,27,3946.0,2054
46,75690,48,4389.6,25,4644.0,1356
47,77071,49,4394.3,24,4619.0,1381
48,77775,50,4412.7,23,5296.0,704
49,79157,51,4416.8,22,4618.0,1382
50,80404,52,4423.4,21,4753.0,1247
51,81906,53,4424.9,19,4498.0,1502
52,82215,54,4448.8,19,5691.0,309
53,88215,55,4255.3,13,-6000.0,6000
54,88386,56,4283.9,13,5829.0,171
55,88688,57,4309.1,13,5698.0,302
56,89343,58,4327.3,12,5345.0,655
57,94564,59,4266.1,7,779.0,5221
58,95572,60,4278.4,6,4992.0,1008
59,95718,61,4304.7,6,5854.0,146
60,101718,62,4135.8,2,-6000.0,6000
61,103437,63,4138.1,2,4281.0,1719
62,103607,64,4165.0,2,5830.0,170
63,105409,65,4165.5,2,4198.0,1802
64,109400,66,4132.3,2,2009.0,3991
65,109626,67,4157.2,2,5774.0,226
66,109782,68,4182.3,2,5844.0,156
67,110600,69,4197.0,2,5182.0,818
68,112102,70,4201.4,2,4498.0,1502
69,118102,71,4055.7,2,-6000.0,6000
70,124102,72,3914.0,2,-6000.0,6000
71,127209,73,3899.9,2,2893.0,3107
72,133209,74,3764.2,2,-6000.0,6000
73,135451,75,3764.2,2,3758.0,2242
74,136270,76,3783.1,2,5181.0,819
75,136586,77,3808.1,2,5684.0,316
76,142586,78,3680.7,2,-6000.0,6000
77,142737,79,3708.5,2,5849.0,151
78,142893,80,3735.5,2,5844.0,156
79,148893,81,3613.8,2,-6000.0,6000
80,152203,82,3602.4,2,2690.0,3310
81,152391,83,3629.4,2,5812.0,188
82,152547,84,3656.0,2,5844.0,156
83,154280,85,3663.3,2,4267.0,1733
84,160280,86,3549.6,2,-6000.0,6000
85,165620,87,3516.0,2,660.0,5340
86,166203,88,3537.9,2,5417.0,583
87,172203,89,3429.5,2,-6000.0,6000
88,172405,90,3456.1,2,5798.0,202
89,172999,91,3477.8,2,5406.0,594
90,174470,92,3489.3,2,4529.0,1471
91,180470,93,3386.2,2,-6000.0,6000
92,180968,94,3408.9,2,5502.0,498
93,186968,95,3308.8,2,-6000.0,6000
94,187484,96,3331.7,2,5484.0,516
95,192416,97,3308.2,2,1068.0,4932
96,192796,98,3332.0,2,5620.0,380
97,193310,99,3354.0,2,5486.0,514
98,194093,100,3372.8,2,5217.0,783
99,198199,101,3358.0,2,1894.0,4106
100,200674,102,3336.2,2,3525.0,2475
101,206194,103,3298.8,2,480.0,5520
102,207781,104,3294.5,2,4413.0,1587
103,207935,105,3324.1,2,5846.0,154
104,213148,106,3297.9,2,787.0,5213
105,213332,107,3314.9,2,5816.0,184
106,219332,108,3200.0,2,-6000.0,6000
107,219899,109,3201.2,2,5433.0,567
108,220769,110,3234.0,2,5130.0,870
109,222458,111,3263.8,2,4311.0,1689
110,223208,112,3264.0,2,5250.0,750
111,223512,113,3268.1,2,5696.0,304
112,225683,114,3254.6,2,3829.0,2171
113,226062,115,3262.0,2,5621.0,379
114,226219,116,3270.0,2,5843.0,157
115,232219,117,3191.2,2,-6000.0,6000
116,236884,118,3165.1,2,1335.0,4665
117,237705,119,3169.8,2,5179.0,821
118,237861,120,3181.7,2,5844.0,156
119,238668,121,3177.4,2,5193.0,807
120,240842,122,3195.4,2,3826.0,2174
121,246842,123,3131.7,2,-6000.0,6000
122,247028,124,3158.0,2,5814.0,186
123,248326,125,3157.0,2,4702.0,1298
124,248793,126,3154.6,2,5533.0,467
125,254793,127,3091.4,2,-6000.0,6000
126,258478,128,3080.9,2,2315.0,3685
127,263316,129,3038.5,2,1162.0,4838
128,263694,130,3038.7,2,5622.0,378
129,264493,131,3032.4,2,5201.0,799
130,270493,132,2920.6,2,-6000.0,6000
131,270806,133,2940.6,2,5687.0,313
132,271034,134,2951.1,2,5772.0,228
133,277034,135,2858.5,2,-6000.0,6000
134,283034,136,2748.7,2,-6000.0,6000
135,285934,137,2721.6,2,3100.0,2900
136,291934,138,2603.3,2,-6000.0,6000
137,297061,139,2553.7,2,873.0,5127
138,297426,140,2571.5,2,5635.0,365
139,297574,141,2584.9,2,5852.0,148
140,303320,142,2541.7,2,254.0,5746
141,303537,143,2541.3,2,5783.0,217
142,303727,144,2541.1,2,5810.0,190
143,303938,145,2541.7,2,5789.0,211
144,304112,146,2541.7,2,5826.0,174
145,310112,147,2442.2,2,-6000.0,6000
146,310266,148,2454.2,2,5846.0,154
147,316266,149,2348.0,2,-6000.0,6000
148,322266,150,2235.1,2,-6000.0,6000
149,328266,151,2128.9,2,-6000.0,6000
150,328464,152,2139.4,2,5802.0,198
151,328682,153,2152.2,2,5782.0,218
152,328864,154,2153.5,2,5818.0,182
153,334864,155,2153.5,2,-6000.0,6000
154,335914,156,2144.7,2,4950.0,1050
155,336086,157,2146.0,2,5828.0,172
156,336270,158,2150.7,2,5816.0,184
157,336595,159,2199.7,2,5675.0,325
158,336776,160,2208.0,2,5819.0,181
159,342776,161,2089.4,2,-6000.0,6000
160,348776,162,2089.4,2,-6000.0,6000
161,348926,163,2105.1,2,5850.0,150
162,349189,164,2104.2,2,5737.0,263
163,349339,165,2120.7,2,5850.0,150
164,349494,166,2159.1,2,5845.0,155
165,352957,167,2126.7,2,2537.0,3463
166,353227,168,2125.6,2,5730.0,270
167,359227,169,2013.7,2,-6000.0,6000
168,365227,170,1908.8,2,-6000.0,6000
169,371227,171,1908.8,2,-6000.0,6000
170,371535,172,2025.7,2,5692.0,308
171,375065,173,2021.4,2,2470.0,3530
172,381065,174,2021.4,2,-6000.0,6000
173,384344,175,2011.1,2,2721.0,3279
174,390344,176,1899.3,2,-6000.0,6000
175,390528,177,1900.6,2,5816.0,184
176,391407,178,2011.8,2,5121.0,879
177,397407,179,1893.3,2,-6000.0,6000
178,397738,180,1891.6,2,5669.0,331
179,403738,181,1891.6,2,-6000.0,6000
180,409738,182,1804.6,2,-6000.0,6000
181,410633,183,1797.6,2,5105.0,895
182,412302,184,1782.4,2,4331.0,1669
183,412443,185,1798.4,2,5859.0,141
184,412589,186,1916.9,2,5854.0,146
185,418589,187,1850.3,2,-6000.0,6000
186,424589,188,1736.1,2,-6000.0,6000
187,430589,189,1736.1,2,-6000.0,6000
188,432123,190,1722.8,2,4466.0,1534
189,432281,191,1727.2,2,5842.0,158
190,432773,192,1737.0,2,5508.0,492
191,432990,193,1854.8,2,5783.0,217
192,438990,194,1739.8,2,-6000.0,6000
193,444990,195,1739.8,2,-6000.0,6000
194,446856,196,1726.3,2,4134.0,1866
195,451054,197,1733.6,2,1802.0,4198
196,452264,198,1725.3,2,4790.0,1210
197,458264,199,1610.5,2,-6000.0,6000
198,458747,200,1613.5,2,5517.0,483
199,462878,201,1613.2,2,1869.0,4131
