,steps,episodes,mean episode reward,% time spent exploring,reward_for_this_episode,delta_t
145,462543,147,32.4,2,5577.0,423
146,468543,148,32.4,2,-6000.0,6000
147,469180,149,41.0,2,5363.0,637
148,469533,150,157.4,2,5647.0,353
149,471845,151,155.2,2,3688.0,2312
150,472400,152,157.9,2,5445.0,555
151,473088,153,159.8,2,5312.0,688
152,476742,154,131.7,2,2346.0,3654
153,479007,155,130.4,2,3735.0,2265
154,485007,156,130.4,2,-6000.0,6000
155,490145,157,101.6,2,862.0,5138
156,494682,158,69.4,2,1463.0,4537
157,500682,159,-40.9,2,-6000.0,6000
158,500912,160,-7.5,2,5770.0,230
159,504068,161,20.6,2,2844.0,3156
