ep,% time spent exploring,delta_t,episodes,mean episode reward,reward for this episode,steps
162,2,675,164,2492.9,5325,343354
163,2,501,165,2513.5,5499,343855
164,2,2352,166,2493.2,3648,346207
165,2,2374,167,2517.9,3626,348581
166,2,322,168,2525,5678,348903
167,2,278,169,2536.7,5722,349181
168,2,577,170,2533.4,5423,349758
169,2,240,171,2534.1,5760,349998
170,2,1765,172,2552.5,4235,351763
171,2,392,173,2558.8,5608,352155
172,2,270,174,2582.9,5730,352425
173,2,497,175,2622.2,5503,352922
174,2,452,176,2668.5,5548,353374
175,2,3061,177,2665,2939,356435
176,2,2937,178,2645.3,3063,359372
177,2,2443,179,2636.8,3557,361815
178,2,2205,180,2618,3795,364020
179,2,346,181,2619.7,5654,364366
180,2,574,182,2630.3,5426,364940
181,2,6000,183,2522.4,-6000,370940
182,2,675,184,2569.2,5325,371615
183,2,1210,185,2677.1,4790,372825
184,2,1584,186,2678.2,4416,374409
185,2,349,187,2689.7,5651,374758
186,2,6000,188,2582.8,-6000,380758
187,2,270,189,2700.1,5730,381028
188,2,5518,190,2682.4,482,386546
189,2,3530,191,2767.1,2470,390076
190,2,6000,192,2652.5,-6000,396076
191,2,6000,193,2539.4,-6000,402076
192,2,277,194,2545.8,5723,402353
193,2,4745,195,2539.1,1255,407098
194,2,5684,196,2497.3,316,412782
195,2,4267,197,2574.6,1733,417049
196,2,2450,198,2602,3550,419499
197,2,391,199,2600.8,5609,419890
198,2,398,200,2716.9,5602,420288
199,2,240,201,2834.5,5760,420528
